InvoiceID,Gender,Products,Quantity,Total,Payment,Salary,Purchased
750-67-8428,Female,Health and beauty,7,548.9715,Ewallet,5600,Yes
226-31-3081,Female,Electronic accessories,5,80.22,Cash,3500,Yes
631-41-3108,Male,Home and lifestyle,7,340.5255,Credit card,9000,Yes
123-19-1176,Male,Health and beauty,8,489.048,Ewallet,12000,Yes
373-73-7910,Male,Sports and travel,7,634.3785,Ewallet,4500,Yes
699-14-3026,Male,Electronic accessories,7,627.6165,Ewallet,8000,Yes
355-53-5943,Female,Electronic accessories,6,433.692,Ewallet,7000,Yes
315-22-5665,Female,Home and lifestyle,14,988.16,Ewallet,1500,No
665-32-9167,Female,Health and beauty,2,76.146,Credit card,13000,Yes
692-92-5582,Female,Food and beverages,3,172.746,Credit card,9000,Yes
351-62-0822,Female,Fashion accessories,4,60.816,Ewallet,12000,Yes
529-56-3974,Male,Electronic accessories,4,107.142,Cash,5000,Yes
365-64-0515,Female,Electronic accessories,5,246.4875,Ewallet,4000,Yes
252-56-2699,Male,Food and beverages,10,453.495,Ewallet,18000,Yes
829-34-3910,Female,Health and beauty,10,749.49,Cash,8000,Yes
299-46-1805,Female,Sports and travel,6,703.923,Cash,1500,No
656-95-9349,Female,Health and beauty,7,506.6355,Credit card,1000,No
765-26-6951,Male,Sports and travel,6,457.443,Credit card,6000,Yes
329-62-1586,Male,Food and beverages,3,172.2105,Credit card,10000,No
319-50-3348,Female,Home and lifestyle,9,902.678,Ewallet,1000,No
300-71-4605,Male,Electronic accessories,5,451.71,Ewallet,22000,Yes
371-85-5789,Male,Health and beauty,13,950.82,Ewallet,6500,Yes
273-16-6619,Male,Home and lifestyle,2,69.72,Credit card,9000,Yes
636-48-8204,Male,Electronic accessories,5,181.44,Ewallet,3500,Yes
549-59-1358,Male,Sports and travel,3,279.1845,Ewallet,3000,Yes
227-03-5010,Female,Home and lifestyle,8,441.756,Credit card,2000,No
649-29-6775,Male,Fashion accessories,1,35.196,Cash,4500,Yes
189-17-4241,Female,Fashion accessories,2,184.107,Credit card,5000,Yes
145-94-9061,Female,Food and beverages,5,463.89,Cash,1200,No
848-62-7243,Male,Health and beauty,9,235.2105,Cash,18000,Yes
871-79-8483,Male,Fashion accessories,5,494.1825,Credit card,4000,Yes
149-71-6266,Male,Sports and travel,9,737.7615,Cash,7500,Yes
640-49-2076,Male,Sports and travel,8,703.752,Cash,16000,Yes
595-11-5460,Male,Health and beauty,2,202.818,Credit card,12000,Yes
183-56-6882,Female,Health and beauty,14,1000.986,Ewallet,1000,No
232-16-2483,Female,Sports and travel,1,71.526,Ewallet,17000,Yes
129-29-8530,Male,Sports and travel,5,328.755,Ewallet,28000,Yes
272-65-1806,Female,Electronic accessories,9,575.316,Ewallet,49000,Yes
333-73-7901,Female,Health and beauty,8,461.328,Ewallet,9000,Yes
777-82-7220,Male,Home and lifestyle,8,253.008,Cash,13000,Yes
280-35-5823,Female,Home and lifestyle,1,91.056,Ewallet,17000,Yes
554-53-8700,Male,Home and lifestyle,2,117.831,Cash,5000,Yes
354-25-5821,Female,Sports and travel,6,435.456,Cash,10000,Yes
228-96-1411,Female,Food and beverages,8,829.08,Cash,3000,No
617-15-4209,Male,Health and beauty,2,32.277,Cash,84000,Yes
132-32-9879,Female,Electronic accessories,4,394.632,Cash,3000,No
370-41-7321,Male,Health and beauty,9,535.7205,Credit card,7000,Yes
727-46-3608,Female,Food and beverages,9,189.0945,Ewallet,24000,No
669-54-1719,Male,Electronic accessories,6,119.259,Credit card,35000,Yes
574-22-5561,Female,Fashion accessories,10,867.615,Ewallet,8000,Yes
326-78-5178,Male,Food and beverages,7,671.79,Cash,32000,No
162-48-8011,Female,Food and beverages,5,234.0975,Cash,44000,Yes
616-24-2851,Female,Fashion accessories,4,75.054,Ewallet,1500,No
778-71-5554,Male,Fashion accessories,1,16.2015,Credit card,12000,Yes
242-55-6721,Male,Home and lifestyle,2,33.936,Ewallet,4500,Yes
399-46-5918,Female,Electronic accessories,8,1778.23,Cash,5000,No
106-35-6779,Male,Home and lifestyle,2,93.114,Cash,2000,No
635-40-6220,Male,Health and beauty,8,752.64,Ewallet,1200,No
817-48-8732,Female,Home and lifestyle,10,759.675,Cash,3500,No
120-06-4233,Male,Electronic accessories,13,1009.87,Cash,12000,Yes
285-68-5083,Female,Sports and travel,3,77.931,Credit card,3500,Yes
803-83-5989,Male,Home and lifestyle,6,351.099,Ewallet,2000,Yes
347-34-2234,Female,Sports and travel,9,520.4115,Ewallet,5000,Yes
199-75-8169,Male,Sports and travel,10,166.005,Credit card,4000,Yes
853-23-2453,Male,Health and beauty,4,318.108,Cash,12000,Yes
877-22-3308,Male,Health and beauty,10,166.635,Cash,8000,Yes
838-78-4295,Female,Health and beauty,2,70.287,Ewallet,3000,Yes
109-28-2512,Female,Fashion accessories,6,614.943,Ewallet,20000,Yes
232-11-3025,Male,Sports and travel,10,827.085,Cash,6000,Yes
382-03-4532,Female,Health and beauty,1,19.2465,Cash,10000,Yes
393-65-2792,Male,Food and beverages,10,939.54,Credit card,12000,Yes
796-12-2025,Male,Fashion accessories,10,652.26,Cash,9000,Yes
510-95-6347,Female,Food and beverages,3,152.838,Ewallet,8000,Yes
841-35-6630,Female,Electronic accessories,6,478.233,Cash,7000,Yes
287-21-9091,Male,Home and lifestyle,9,705.6315,Ewallet,1500,Yes
732-94-0499,Female,Electronic accessories,10,437.325,Credit card,13000,Yes
263-10-3913,Male,Fashion accessories,9,463.428,Credit card,9000,Yes
381-20-0914,Female,Fashion accessories,9,189.0945,Credit card,3500,Yes
829-49-1914,Female,Food and beverages,10,822.255,Ewallet,5000,Yes
756-01-7507,Female,Health and beauty,5,106.995,Cash,4000,Yes
870-72-4431,Female,Health and beauty,6,624.897,Credit card,3500,Yes
847-38-7188,Female,Food and beverages,3,304.542,Ewallet,2000,Yes
480-63-2856,Male,Food and beverages,8,161.7,Ewallet,5000,Yes
787-56-0757,Female,Food and beverages,4,337.512,Credit card,4000,Yes
360-39-5055,Male,Sports and travel,5,256.7775,Cash,12000,Yes
730-50-9884,Female,Sports and travel,7,610.491,Ewallet,8000,Yes
362-58-8315,Male,Fashion accessories,5,401.73,Cash,3000,Yes
633-44-8566,Male,Food and beverages,7,362.943,Credit card,20000,Yes
504-35-8843,Male,Sports and travel,1,44.5935,Cash,1200,No
318-68-5053,Female,Health and beauty,6,485.037,Cash,10000,Yes
565-80-5980,Female,Home and lifestyle,4,198.996,Cash,12000,Yes
225-32-0908,Female,Sports and travel,10,471.03,Ewallet,1300,No
873-51-0671,Female,Sports and travel,7,161.553,Ewallet,1000,No
152-08-9985,Male,Health and beauty,9,608.202,Credit card,1000,No
512-91-0811,Male,Health and beauty,1,94.2375,Credit card,1500,Yes
594-34-4444,Male,Electronic accessories,1,102.018,Ewallet,1200,No
766-85-7061,Male,Health and beauty,10,922.635,Ewallet,4500,Yes
871-39-9221,Female,Electronic accessories,6,78.435,Cash,3500,Yes
865-92-6136,Male,Food and beverages,3,166.1625,Ewallet,5000,Yes
733-01-9107,Male,Home and lifestyle,6,521.01,Cash,4000,Yes
163-56-7055,Male,Fashion accessories,1,51.1455,Cash,3500,Yes
189-98-2939,Male,Fashion accessories,9,742.2975,Cash,2000,Yes
551-21-3069,Female,Electronic accessories,9,218.0115,Cash,5000,Yes
212-62-1842,Male,Food and beverages,6,367.038,Cash,4000,Yes
716-39-1409,Male,Health and beauty,7,223.0725,Cash,12000,Yes
704-48-3927,Male,Electronic accessories,10,931.035,Ewallet,8000,Yes
628-34-3388,Male,Fashion accessories,6,172.494,Credit card,3000,Yes
630-74-5166,Male,Sports and travel,6,391.419,Cash,20000,Yes
588-01-7461,Female,Food and beverages,9,321.111,Cash,6000,Yes
861-77-0145,Male,Electronic accessories,10,860.685,Cash,10000,Yes
479-26-8945,Female,Sports and travel,2,34.629,Ewallet,12000,Yes
210-67-5886,Female,Health and beauty,3,309.3615,Credit card,9000,Yes
227-78-1148,Female,Fashion accessories,7,535.374,Cash,8000,Yes
645-44-1170,Male,Home and lifestyle,9,548.7615,Ewallet,7000,Yes
237-01-6122,Female,Home and lifestyle,9,763.4655,Credit card,1500,Yes
225-98-1496,Female,Fashion accessories,3,85.113,Credit card,13000,Yes
291-32-1427,Male,Fashion accessories,5,115.185,Ewallet,9000,Yes
659-65-8956,Male,Fashion accessories,1,53.928,Ewallet,3500,Yes
642-32-2990,Female,Food and beverages,10,115.08,Ewallet,5000,Yes
378-24-2715,Male,Home and lifestyle,2,112.224,Ewallet,4000,Yes
638-60-7125,Female,Electronic accessories,8,836.304,Credit card,7000,Yes
659-36-1684,Male,Sports and travel,7,419.832,Credit card,3500,Yes
219-22-9386,Male,Sports and travel,9,944.622,Credit card,2000,Yes
336-78-2147,Male,Home and lifestyle,8,536.844,Credit card,5000,Yes
268-27-6179,Female,Fashion accessories,8,474.348,Ewallet,4000,Yes
668-90-8900,Female,Home and lifestyle,7,688.6215,Credit card,12000,Yes
870-54-3162,Female,Sports and travel,5,169.3125,Cash,1000,No
189-08-9157,Female,Fashion accessories,9,299.8485,Credit card,1500,No
663-86-9076,Female,Food and beverages,8,575.736,Ewallet,20000,Yes
549-84-7482,Female,Sports and travel,9,853.146,Ewallet,6000,No
191-10-6171,Female,Fashion accessories,7,291.207,Cash,10000,No
802-70-5316,Female,Sports and travel,6,580.419,Cash,12000,No
695-51-0018,Female,Sports and travel,4,146.328,Cash,9000,No
590-83-4591,Male,Electronic accessories,6,550.935,Credit card,8000,Yes
483-71-1164,Female,Health and beauty,6,512.19,Ewallet,7000,Yes
597-78-7908,Male,Fashion accessories,3,284.193,Cash,1500,Yes
700-81-1757,Female,Electronic accessories,5,138.1275,Credit card,13000,Yes
354-39-5160,Female,Home and lifestyle,6,216.846,Cash,9000,Yes
241-72-9525,Male,Sports and travel,10,545.055,Cash,3500,Yes
575-30-8091,Male,Sports and travel,8,609,Ewallet,5000,Yes
731-81-9469,Female,Sports and travel,10,942.9,Credit card,4000,Yes
280-17-4359,Male,Health and beauty,10,950.25,Cash,8000,No
338-65-2210,Female,Health and beauty,10,720.3,Cash,9000,Yes
488-25-4221,Female,Food and beverages,1,31.9305,Credit card,3500,Yes
239-10-7476,Female,Home and lifestyle,6,491.085,Ewallet,2000,Yes
458-41-1477,Female,Health and beauty,6,291.438,Credit card,5000,Yes
685-64-1609,Female,Fashion accessories,10,316.47,Ewallet,4000,Yes
568-90-5112,Male,Health and beauty,4,277.788,Credit card,12000,Yes
262-47-2794,Male,Home and lifestyle,8,603.624,Credit card,8000,Yes
238-49-0436,Male,Health and beauty,8,272.664,Credit card,3000,Yes
608-96-3517,Female,Fashion accessories,4,384.468,Credit card,2000,No
584-86-7256,Male,Sports and travel,7,254.016,Credit card,1200,No
746-94-0204,Male,Fashion accessories,9,786.618,Credit card,10000,Yes
214-17-6927,Female,Food and beverages,6,103.824,Ewallet,12000,Yes
400-89-4171,Female,Sports and travel,8,680.148,Cash,9000,Yes
782-95-9291,Male,Food and beverages,5,484.5225,Credit card,8000,Yes
279-74-2924,Male,Electronic accessories,1,75.7785,Cash,7000,Yes
307-85-2293,Male,Home and lifestyle,5,263.97,Ewallet,1500,Yes
743-04-1105,Male,Health and beauty,9,918.729,Ewallet,13000,Yes
423-57-2993,Male,Sports and travel,6,588.357,Ewallet,9000,Yes
894-41-5205,Female,Food and beverages,8,362.712,Credit card,3500,Yes
275-28-0149,Male,Sports and travel,1,66.8745,Cash,5000,Yes
101-17-6199,Male,Food and beverages,7,336.5565,Credit card,4000,Yes
423-80-0988,Male,Sports and travel,2,160.44,Ewallet,3500,Yes
548-46-9322,Male,Food and beverages,10,418.95,Credit card,2000,Yes
505-02-0892,Male,Health and beauty,8,357.588,Ewallet,5000,Yes
234-65-2137,Male,Home and lifestyle,10,1003.59,Cash,4000,Yes
687-47-8271,Male,Fashion accessories,10,1039.29,Credit card,12000,Yes
796-32-9050,Male,Food and beverages,6,323.064,Cash,1200,No
105-31-1824,Male,Sports and travel,7,510.972,Credit card,1500,No
249-42-3782,Male,Health and beauty,5,367.5525,Ewallet,20000,Yes
316-55-4634,Male,Food and beverages,5,420.2625,Credit card,6000,Yes
733-33-4967,Male,Electronic accessories,8,175.14,Cash,10000,Yes
608-27-6295,Male,Electronic accessories,6,333.207,Credit card,12000,Yes
414-12-7047,Male,Food and beverages,8,166.236,Ewallet,2000,No
827-26-2100,Male,Home and lifestyle,9,319.788,Ewallet,8000,Yes
175-54-2529,Male,Food and beverages,8,186.228,Credit card,7000,No
139-52-2867,Female,Fashion accessories,7,165.4485,Credit card,1500,Yes
407-63-8975,Male,Food and beverages,6,465.444,Ewallet,13000,No
342-65-4817,Male,Health and beauty,3,273.42,Ewallet,9000,Yes
130-98-8941,Male,Fashion accessories,7,472.311,Cash,3500,No
434-83-9547,Male,Food and beverages,8,323.148,Cash,1500,No
851-28-6367,Male,Sports and travel,10,509.346,Ewallet,2500,No
824-88-3614,Male,Health and beauty,8,288.204,Ewallet,3500,Yes
586-25-0848,Female,Sports and travel,7,90.699,Credit card,2000,Yes
895-66-0685,Male,Food and beverages,3,56.952,Ewallet,5000,Yes
305-14-0245,Female,Home and lifestyle,8,793.716,Ewallet,4000,Yes
732-04-5373,Male,Home and lifestyle,4,195.174,Cash,12000,No
400-60-7251,Male,Home and lifestyle,1,77.7735,Ewallet,8000,Yes
593-65-1552,Female,Home and lifestyle,4,293.202,Credit card,3000,Yes
284-34-9626,Female,Home and lifestyle,3,242.676,Credit card,20000,Yes
437-58-8131,Female,Fashion accessories,2,154.392,Ewallet,6000,Yes
286-43-6208,Female,Food and beverages,9,829.71,Cash,10000,Yes
641-43-2399,Male,Home and lifestyle,4,107.31,Ewallet,12000,Yes
831-07-6050,Male,Electronic accessories,5,171.7275,Credit card,9000,Yes
556-86-3144,Female,Fashion accessories,1,78.0045,Cash,8000,Yes
848-24-9445,Male,Health and beauty,2,91.77,Cash,7000,Yes
856-22-8149,Female,Home and lifestyle,1,26.5545,Ewallet,1500,Yes
699-01-4164,Male,Health and beauty,4,174.3,Credit card,13000,Yes
420-11-4919,Female,Food and beverages,5,374.7975,Credit card,9000,Yes
606-80-4905,Female,Sports and travel,6,120.645,Credit card,3500,Yes
542-41-0513,Female,Electronic accessories,4,241.458,Cash,5000,Yes
426-39-2418,Male,Electronic accessories,7,451.3635,Cash,4000,Yes
875-46-5808,Male,Health and beauty,10,271.95,Ewallet,3500,Yes
394-43-4238,Male,Home and lifestyle,5,93.2925,Credit card,2000,Yes
749-24-1565,Female,Health and beauty,9,217.6335,Ewallet,5000,Yes
672-51-8681,Female,Electronic accessories,9,629.8425,Credit card,1000,No
263-87-5680,Female,Home and lifestyle,10,299.565,Ewallet,12000,Yes
573-58-9734,Female,Fashion accessories,3,95.6655,Ewallet,8000,Yes
817-69-8206,Female,Electronic accessories,9,942.4485,Credit card,1000,No
888-02-0338,Male,Electronic accessories,9,247.8735,Ewallet,20000,Yes
677-11-0152,Female,Food and beverages,9,881.307,Cash,1200,No
142-63-6033,Male,Home and lifestyle,5,484.89,Ewallet,10000,Yes
656-16-1063,Male,Sports and travel,3,146.223,Credit card,12000,Yes
891-58-8335,Female,Sports and travel,7,217.6335,Cash,9000,Yes
802-43-8934,Male,Home and lifestyle,1,19.194,Credit card,8000,Yes
560-30-5617,Female,Sports and travel,5,130.0425,Cash,7000,Yes
319-74-2561,Female,Electronic accessories,3,298.116,Cash,1500,Yes
549-03-9315,Male,Fashion accessories,8,796.908,Ewallet,13000,Yes
790-29-1172,Female,Food and beverages,3,180.621,Credit card,9000,Yes
239-36-3640,Male,Electronic accessories,6,285.705,Ewallet,3500,Yes
468-01-2051,Male,Food and beverages,7,456.288,Ewallet,5000,Yes
389-25-3394,Male,Electronic accessories,5,62.0025,Cash,4000,Yes
279-62-1445,Female,Fashion accessories,1,13.167,Cash,3500,Yes
213-72-6612,Male,Food and beverages,2,90.825,Cash,2000,Yes
746-68-6593,Female,Sports and travel,12,1498.64,Credit card,2000,No
836-82-5858,Male,Health and beauty,9,655.5465,Ewallet,1000,No
583-72-1480,Male,Electronic accessories,4,155.652,Ewallet,12000,Yes
466-61-5506,Female,Electronic accessories,6,571.41,Cash,8000,Yes
721-86-6247,Female,Home and lifestyle,8,532.728,Ewallet,3000,Yes
289-65-5721,Female,Fashion accessories,2,170.877,Cash,20000,Yes
545-46-3100,Female,Electronic accessories,3,33.3585,Credit card,6000,Yes
418-02-5978,Female,Health and beauty,9,794.6505,Cash,1000,No
269-04-5750,Male,Fashion accessories,4,310.044,Cash,12000,Yes
157-13-5295,Male,Health and beauty,10,545.37,Ewallet,9000,Yes
645-78-8093,Female,Sports and travel,2,195.594,Ewallet,8000,Yes
211-30-9270,Male,Health and beauty,5,91.4025,Credit card,7000,Yes
755-12-3214,Female,Fashion accessories,5,232.155,Credit card,1500,Yes
346-84-3103,Female,Electronic accessories,5,69.405,Cash,13000,Yes
478-06-7835,Male,Fashion accessories,1,94.1745,Ewallet,9000,Yes
540-11-4336,Male,Food and beverages,9,235.683,Credit card,3500,Yes
448-81-5016,Male,Health and beauty,2,125.517,Credit card,5000,Yes
142-72-4741,Male,Fashion accessories,2,195.72,Credit card,4000,Yes
217-58-1179,Male,Home and lifestyle,4,263.13,Cash,3500,Yes
376-02-8238,Male,Home and lifestyle,8,788.508,Credit card,1000,No
530-90-9855,Male,Home and lifestyle,8,399.756,Cash,5000,Yes
866-05-7563,Female,Electronic accessories,3,256.41,Cash,4000,Yes
604-70-6476,Male,Fashion accessories,5,94.185,Ewallet,12000,Yes
799-71-1548,Male,Electronic accessories,4,326.424,Credit card,8000,Yes
785-13-7708,Male,Food and beverages,7,536.991,Credit card,3000,Yes
845-51-0542,Male,Food and beverages,9,439.8975,Ewallet,20000,Yes
662-47-5456,Male,Fashion accessories,10,369.495,Credit card,6000,Yes
883-17-4236,Female,Sports and travel,2,30.219,Credit card,10000,Yes
290-68-2984,Male,Home and lifestyle,4,99.75,Cash,12000,Yes
704-11-6354,Male,Home and lifestyle,8,494.76,Cash,9000,Yes
110-48-7033,Male,Fashion accessories,4,137.004,Cash,8000,Yes
366-93-0948,Male,Electronic accessories,1,69.6675,Credit card,7000,Yes
729-09-9681,Male,Home and lifestyle,6,163.233,Ewallet,1500,Yes
151-16-1484,Male,Electronic accessories,4,135.45,Ewallet,13000,Yes
380-94-4661,Male,Electronic accessories,4,276.948,Credit card,9000,Yes
850-41-9669,Female,Electronic accessories,9,709.317,Ewallet,3500,Yes
821-07-3596,Female,Fashion accessories,4,69.09,Ewallet,5000,Yes
655-85-5130,Female,Fashion accessories,4,160.86,Cash,4000,Yes
447-15-7839,Female,Sports and travel,10,233.52,Cash,3500,Yes
154-74-7179,Male,Sports and travel,1,57.1725,Ewallet,2000,Yes
253-12-6086,Female,Sports and travel,7,723.24,Credit card,5000,Yes
808-65-0703,Male,Home and lifestyle,4,148.974,Credit card,4000,Yes
571-94-0759,Female,Food and beverages,10,783.3,Cash,12000,Yes
144-51-6085,Male,Home and lifestyle,4,297.108,Credit card,8000,Yes
731-14-2199,Female,Home and lifestyle,10,373.17,Ewallet,3000,Yes
783-09-1637,Female,Sports and travel,5,354.0075,Ewallet,20000,Yes
687-15-1097,Female,Health and beauty,2,44.352,Cash,6000,Yes
126-54-1082,Female,Home and lifestyle,9,203.553,Credit card,10000,Yes
633-91-1052,Female,Home and lifestyle,2,25.263,Cash,12000,Yes
477-24-6490,Female,Health and beauty,6,628.173,Ewallet,9000,Yes
566-19-5475,Male,Fashion accessories,7,352.5795,Cash,8000,Yes
526-86-8552,Female,Home and lifestyle,10,229.11,Cash,7000,Yes
376-56-3573,Female,Fashion accessories,4,400.764,Ewallet,1500,Yes
537-72-0426,Male,Fashion accessories,10,745.395,Cash,1200,No
828-61-5674,Male,Sports and travel,10,462.21,Credit card,9000,Yes
